station,outer_fold,C,gamma,kernel,mean_inner_accuracy,std_inner_accuracy,rank_inner_accuracy,mean_fit_time_seconds
FID,8,10,scale,rbf,0.962358803986711,0.0125569480744404,1,0.1579180240631103
FID,8,10,0.01,rbf,0.9600243632336656,0.0135865558256034,5,0.1880897998809814
FID,8,10,0.001,rbf,0.9470365448504982,0.0109934288297714,9,0.2808072805404663
FID,8,100,scale,rbf,0.9593621262458468,0.0078465640525377,6,0.1945153951644897
FID,8,100,0.01,rbf,0.9613610188261352,0.0129195548180273,3,0.1854585647583007
FID,8,100,0.001,rbf,0.9563610188261352,0.0112037977917028,7,0.2793392896652221
FID,8,1000,scale,rbf,0.9523687707641196,0.0120933249022289,8,0.7084874391555787
FID,8,1000,0.01,rbf,0.9613621262458472,0.010116436362149,2,0.3891528844833374
FID,8,1000,0.001,rbf,0.9603588039867108,0.0138617625310006,4,0.1893586158752441
FID,9,10,scale,rbf,0.9653521594684384,0.0149289444145855,3,0.1353463888168335
FID,9,10,0.01,rbf,0.9636832779623477,0.0173601250334072,5,0.1536579132080078
FID,9,10,0.001,rbf,0.95168992248062,0.0164335960017151,9,0.2728952884674072
FID,9,100,scale,rbf,0.9623576965669988,0.0150588815733226,6,0.1738556146621704
FID,9,100,0.01,rbf,0.9660199335548174,0.0128989643013379,1,0.1345825910568237
FID,9,100,0.001,rbf,0.9600199335548172,0.0154311073480221,8,0.1702910900115966
FID,9,1000,scale,rbf,0.9613554817275748,0.0117644153994959,7,0.5125709533691406
FID,9,1000,0.01,rbf,0.9653554817275748,0.0138425640741037,2,0.2731888055801391
FID,9,1000,0.001,rbf,0.9640177187153932,0.0163264885198173,4,0.1761013031005859
FID,10,10,scale,rbf,0.9586932447397564,0.0130105481880453,6,0.1489892244338989
FID,10,10,0.01,rbf,0.9616910299003324,0.0150766643283494,3,0.1823797225952148
FID,10,10,0.001,rbf,0.9467009966777408,0.0165336127093723,9,0.2784029245376587
FID,10,100,scale,rbf,0.9610221483942414,0.011065877328807,4,0.207861852645874
FID,10,100,0.01,rbf,0.9620254706533776,0.0114689792427031,2,0.1497283935546875
FID,10,100,0.001,rbf,0.9543643410852712,0.0142202742405977,8,0.1787420272827148
FID,10,1000,scale,rbf,0.9573543743078629,0.0113497570500792,7,0.5923244714736938
FID,10,1000,0.01,rbf,0.962358803986711,0.0097746186183158,1,0.348299241065979
FID,10,1000,0.001,rbf,0.9603632336655592,0.0132754099571651,5,0.1886120796203613
GLI,1,10,scale,rbf,0.9528847908158252,0.008680009393895,4,0.3070369720458984
GLI,1,10,0.01,rbf,0.9515627412179136,0.0086948664308695,5,0.3487854719161987
GLI,1,10,0.001,rbf,0.930389597630977,0.0100222593117616,9,0.6883003950119019
GLI,1,100,scale,rbf,0.956062200889787,0.008041485722683,2,0.5138254880905151
GLI,1,100,0.01,rbf,0.9528861942655044,0.0080894199146468,3,0.3831125259399414
GLI,1,100,0.001,rbf,0.9430943258529464,0.0092446745245774,8,0.6248350381851197
GLI,1,1000,scale,rbf,0.9475902769006218,0.0114118523028648,7,1.644958782196045
GLI,1,1000,0.01,rbf,0.957915456191318,0.006413361990659,1,0.8512316226959229
GLI,1,1000,0.001,rbf,0.9505024349851936,0.0090976123790114,6,0.4330010890960693
GLI,2,10,scale,rbf,0.9536791433343158,0.0119635849385762,2,0.3326824426651001
